Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,seimp,Nc,Mc,Sc,scimp,year_restoration,yeartrans,Temp,Precip,Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1),Mixture,Disturbances levels,Burn,Seeded,Multiple application ,Biome,Location,Coordinates (Latitude),Coordinate (longitude),S.dist
X,165,1,González Polo,2015,40,4,SE,11.9,7.58,7.58,4,7.2,2.96,2.96,6,7,14.7,24.8,0.068,11.56,0.74,Y,high,Y,N,N,Shrubland,"Patagonia, Argentina",-40.57333,-70.8325,Yes
B,61,1,Ippolito,2010,2.5,4,,98.72,,5.165410019,4,98.53,,7.620494705,13,14,7.8,37.4,0.03725,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,2,Ippolito,2010,5,4,,98.72,,5.165410019,4,98.53,,7.620494705,13,14,7.8,37.4,0.0745,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,3,Ippolito,2010,10,4,,98.13,,5.13453895,4,98.53,,7.620494705,13,14,7.8,37.4,0.149,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,4,Ippolito,2010,21,4,,99.71,,5.217210625,4,98.53,,7.620494705,13,14,7.8,37.4,0.3129,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,5,Ippolito,2010,30,4,,99.71,,5.217210625,4,98.53,,7.620494705,13,14,7.8,37.4,0.447,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,6,Ippolito,2010,2.5,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.03725,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,7,Ippolito,2010,5,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.0745,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,8,Ippolito,2010,10,4,,99.26,,5.193664895,4,99.68,,7.709437859,14,15,7.8,37.4,0.149,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,9,Ippolito,2010,21,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.3129,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,10,Ippolito,2010,30,4,,99.68,,5.21564091,4,99.68,,7.709437859,14,15,7.8,37.4,0.447,,,N ,low,N,N,N,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,11,Ippolito,2010,5,4,,99.12,,5.186339557,4,99.31,,7.680821366,13,14,7.8,37.4,0.0745,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,12,Ippolito,2010,10,4,,99.9,,5.227152156,4,99.31,,7.680821366,13,14,7.8,37.4,0.149,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,13,Ippolito,2010,20,4,,98.92,,5.175874788,4,99.31,,7.680821366,13,14,7.8,37.4,0.298,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,14,Ippolito,2010,42,4,,98.72,,5.165410019,4,99.31,,7.680821366,13,14,7.8,37.4,0.6258,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,15,Ippolito,2010,60,4,,100.1,,5.237616925,4,99.31,,7.680821366,13,14,7.8,37.4,0.894,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,16,Ippolito,2010,10,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.149,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,17,Ippolito,2010,20,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.298,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,18,Ippolito,2010,40,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,0.596,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,19,Ippolito,2010,84,4,,99.68,,5.21564091,4,99.79,,7.717945465,14,15,7.8,37.4,1.2516,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
B,61,20,Ippolito,2010,120,4,,99.26,,5.193664895,4,99.79,,7.717945465,14,15,7.8,37.4,1.788,,,N ,low,N,N,Y,Temperate grassland,"Fort Collins, CO, USA",40.89611,-104.87444,No
X,5,1,Kowaljow,2010,40,4,SD,19.15,3.33,3.33,4,11.42,4.27,4.27,2,3,9.4,56.5,0.0508,8.44,0.62,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,2,Kowaljow,2010,40,4,SD,26.21,9.58,9.58,4,11.42,4.27,4.27,2,3,9.4,56.5,0.068,11.56,0.74,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,3,Kowaljow,2010,40,4,SD,10,,0.523238454,4,7.4,,0.572329857,1,2,9.4,56.5,0.0508,8.44,0.62,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
X,5,4,Kowaljow,2010,40,4,SD,15,,0.784857681,4,7.4,,0.572329857,1,2,9.4,56.5,0.068,11.56,0.74,N ,medium,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,Yes
LLL,159,1,Larchevêque,2005,100,4,SE,92.2,2.55,2.55,4,84.87,2.55,2.55,1.417,2,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,2,Larchevêque,2005,100,4,SE,89.33,3.18,3.18,4,82.32,4.14,4.14,2.167,3,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,3,Larchevêque,2005,100,4,SE,84.55,6.37,6.37,4,82.32,1.91,1.91,0.833,2,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,4,Larchevêque,2005,50,4,SE,92.52,9.24,9.24,4,82.32,1.91,1.91,0.8333,2,13.7,60.3,0.037,,2.03,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,5,Larchevêque,2005,50,4,SE,93.63,6.37,6.37,4,84.87,2.55,2.55,1.417,2,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
LLL,159,6,Larchevêque,2005,50,4,SE,92.83,10.51,10.51,4,82.32,4.14,4.14,2.167,3,13.7,60.3,0.0185,,1.015,Y,low,Y,N,N,Shrubland,"Provence, France",43.48611,5.30167,No
W,6,1,Madejón,2006,60,3,SD,81.82,7.76,7.76,3,32.25,11.67,11.67,0.75,2,18,55.2,0.744,11.7,0.786,N ,high,N,N,Y,Shrubland,"El vicario, spain",37.43916,-6.21638,No
E,17,1,Martinez,2003,40,4,,75,,3.924288405,4,41,,3.171016776,1,2,13.8,44.4,0.045975,10.12,1.06,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,2,Martinez,2003,80,4,,70,,3.662669178,4,41,,3.171016776,1,2,13.8,44.4,0.04291,20.24,2.12,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,3,Martinez,2003,120,4,,46,,2.406896889,4,41,,3.171016776,1,2,13.8,44.4,0.028198,30.36,3.18,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,4,Martinez,2003,40,4,,95,,4.970765314,4,47,,3.635068011,2,3,13.8,44.4,0.058235,10.12,1.06,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,5,Martinez,2003,80,4,,98,,5.12773685,4,47,,3.635068011,2,3,13.8,44.4,0.060074,20.24,2.12,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,6,Martinez,2003,120,4,,96,,5.023089159,4,47,,3.635068011,2,3,13.8,44.4,0.058848,30.36,3.18,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,7,Martinez,2003,40,4,,96,,5.023089159,4,59,,4.563170482,3,4,13.8,44.4,0.058848,10.12,1.06,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,8,Martinez,2003,80,4,,99,,5.180060695,4,59,,4.563170482,3,4,13.8,44.4,0.060687,20.24,2.12,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
E,17,9,Martinez,2003,80,4,,98,,5.12773685,4,59,,4.563170482,3,4,13.8,44.4,0.060074,20.24,2.12,N ,low,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,No
V,7,16,Meyer,2004,5,4,SE,32.03,6.47,6.47,4,20.01,4.36,4.36,0.17,1,5.3,45.2,0.16,,,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,17,Meyer,2004,10,4,SE,44.31,5.42,5.42,4,20.01,4.36,4.36,0.17,1,5.3,45.2,0.32,,,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,18,Meyer,2004,20,4,SE,43.06,18.23,18.23,4,20.01,4.36,4.36,0.17,1,5.3,45.2,0.64,,,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,19,Meyer,2004,40,4,SE,49.79,2.51,2.51,4,20.01,4.36,4.36,0.17,1,5.3,45.2,1.28,,,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,20,Meyer,2004,80,4,SE,52.04,14.53,14.53,4,20.01,4.36,4.36,0.17,1,5.3,45.2,2.56,,,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,1,Meyer,2004,10,4,SE,50.92,5.28,5.28,4,41.41,7.13,7.13,2.17,3,5.3,45.2,0.32,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,2,Meyer,2004,20,4,SE,55.21,5.68,5.68,4,42.92,9.77,9.77,3.17,4,5.3,45.2,0.64,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,3,Meyer,2004,40,4,SE,63.46,5.68,5.68,4,42.92,9.77,9.77,3.17,4,5.3,45.2,1.28,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,4,Meyer,2004,10,4,SE,52.83,5.94,5.94,4,26.35,4.49,4.49,1.17,2,5.3,45.2,0.32,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,5,Meyer,2004,40,4,SE,46.95,8.58,8.58,4,41.41,7.13,7.13,2.17,3,5.3,45.2,1.28,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,6,Meyer,2004,5,4,SE,51.18,8.98,8.98,4,41.41,7.13,7.13,2.17,3,5.3,45.2,0.16,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,7,Meyer,2004,5,4,SE,50.98,9.25,9.25,4,42.92,9.77,9.77,3.17,4,5.3,45.2,0.16,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,8,Meyer,2004,40,4,SE,42.2,9.38,9.38,4,26.35,4.49,4.49,1.17,2,5.3,45.2,1.28,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,9,Meyer,2004,80,4,SE,60.09,10.57,10.57,4,26.35,4.49,4.49,1.17,2,5.3,45.2,2.56,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,10,Meyer,2004,80,4,SE,58.51,11.49,11.49,4,42.92,9.77,9.77,3.17,4,5.3,45.2,2.56,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,11,Meyer,2004,80,4,SE,53.42,15.85,15.85,4,41.41,7.13,7.13,2.17,3,5.3,45.2,2.56,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,12,Meyer,2004,5,4,SE,40.42,15.98,15.98,4,26.35,4.49,4.49,1.17,2,5.3,45.2,0.16,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,13,Meyer,2004,20,4,SE,53.89,16.11,16.11,4,26.35,4.49,4.49,1.17,2,5.3,45.2,0.64,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,14,Meyer,2004,20,4,SE,48.93,17.04,17.04,4,41.41,7.13,7.13,2.17,3,5.3,45.2,0.64,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
V,7,15,Meyer,2004,10,4,SE,51.91,17.83,17.83,4,42.92,9.77,9.77,3.17,4,5.3,45.2,0.32,,#REF!,N ,medium,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,No
U,8,1,Moreno-Peñaranda,2004,350,12,SD,96.1,4.6,4.6,12,78.2,16.1,16.1,2.58,4,7.5,77,,,,N ,high,N,N,N,Shrubland,"Catalonia, Spain",42.03611,2.81722,Yes
EEE,75,1,Newman,2014,20,4.5,SE,84.42,,4.417179029,4,71.31,,5.515248934,4.5,6,4.2,41.1,,,1.09,N ,low,N,N,N,Shrubland,"Kamloops, BC, Canada",51.25,-121.11666,No
FFF,79,1,Page-Dumroese,2018,17,3,SD,17,2,2,3,9,2,2,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,2,Page-Dumroese,2018,17,3,SD,28,2,2,3,9,2,2,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,3,Page-Dumroese,2018,17,3,SD,27,2,2,3,9,2,2,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,4,Page-Dumroese,2018,17,3,SD,21,2,2,3,8,1,1,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,5,Page-Dumroese,2018,17,3,SD,10,2,2,3,8,1,1,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,6,Page-Dumroese,2018,17,3,SD,31,2,2,3,8,1,1,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,7,Page-Dumroese,2018,17,3,SD,18,3,3,3,9,2,2,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
FFF,79,8,Page-Dumroese,2018,17,3,SD,29,3,3,3,8,1,1,2,3,2.1,62,,17,9.52,N ,high,N,Y,N,Temperate seasonal forest,"Oregon, USA",44.79366,-118.50112,Yes
JJJ,128,1,Tarrason,2014,10,5,SD,98.88,1.83,1.83,5,90.03,3.65,3.65,1.08,2,16.1,61.8,0.179,,0.445,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
JJJ,128,2,Tarrason,2014,10,5,SD,96.77,2.67,2.67,5,90.03,3.65,3.65,1.08,2,16.1,61.8,0.156,,0.336,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
JJJ,128,3,Tarrason,2014,10,5,SD,97.19,3.51,3.51,5,90.03,3.65,3.65,1.08,2,16.1,61.8,0.191,,0.466,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
JJJ,128,4,Tarrason,2014,10,5,SD,89.75,4.07,4.07,5,80.76,7.87,7.87,0.08,1,16.1,61.8,0.156,,0.336,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
JJJ,128,5,Tarrason,2014,10,5,SD,85.53,4.21,4.21,5,80.76,7.87,7.87,0.08,1,16.1,61.8,0.191,,0.466,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
JJJ,128,6,Tarrason,2014,10,5,SD,94.1,5.76,5.76,5,80.76,7.87,7.87,0.08,1,16.1,61.8,0.179,,0.445,N ,low,Y,Y,N,Shrubland,"Catalonia, Spain",41.434519,2.19088,No
T,113,1,Wallace,2016,60,4,SE,40,32.8,32.8,4,49.2,35.4,35.4,8,9,4.1,40.7,,21,2.64,N ,Low,N,N,N,Shrubland,"Ashcroft Ranch, BC, Canada",50.68778,-121.34083,No
T,113,2,Wallace,2016,20,4,SE,63.65,38.6,38.6,4,49.2,35.4,35.4,8,9,4.1,40.7,,7,0.88,N ,Low,N,N,N,Shrubland,"Ashcroft Ranch, BC, Canada",50.68778,-121.34083,No
E,116,3,Walter,2009,40,4,,75,,3.924288405,4,50,,3.867093629,1,2,14.3,42.8,,10.12,1.06,N ,low,Y,N,N,Shrubland,"Madrid, Spain",40.20889,-3.56861,No
E,116,4,Walter,2009,80,4,,70,,3.662669178,4,50,,3.867093629,1,2,14.3,42.8,,20.24,2.12,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,5,Walter,2009,120,4,,46,,2.406896889,4,50,,3.867093629,1,2,14.3,42.8,,30.36,3.18,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,6,Walter,2009,40,4,,95,,4.970765314,4,38,,2.938991158,2,3,14.3,42.8,,10.12,1.06,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,7,Walter,2009,80,4,,98,,5.12773685,4,38,,2.938991158,2,3,14.3,42.8,,20.24,2.12,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,8,Walter,2009,120,4,,96,,5.023089159,4,38,,2.938991158,2,3,14.3,42.8,,30.36,3.18,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,9,Walter,2009,40,4,,96,,5.023089159,4,50,,3.867093629,3,4,14.3,42.8,,10.12,1.06,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,10,Walter,2009,80,4,,99,,5.180060695,4,50,,3.867093629,3,4,14.3,42.8,,20.24,2.12,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,11,Walter,2009,120,4,,98,,5.12773685,4,50,,3.867093629,3,4,14.3,42.8,,30.36,3.18,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,12,Walter,2009,40,4,,96,,5.023089159,4,50,,3.867093629,4,5,14.3,42.8,,10.12,1.06,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,13,Walter,2009,80,4,,98,,5.12773685,4,50,,3.867093629,4,5,14.3,42.8,,20.24,2.12,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,14,Walter,2009,120,4,,98,,5.12773685,4,50,,3.867093629,4,5,14.3,42.8,,30.36,3.18,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,15,Walter,2009,40,4,,96,,5.023089159,4,38,,2.938991158,5,6,14.3,42.8,,10.12,1.06,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,16,Walter,2009,80,4,,93,,4.866117623,4,38,,2.938991158,5,6,14.3,42.8,,20.24,2.12,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
E,116,17,Walter,2009,120,4,,97,,5.075413004,4,38,,2.938991158,5,6,14.3,42.8,,30.36,3.18,N ,low,Y,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,No
HHH,120,1,Xiong,2015,30,3,SD,98,2,2,3,58,20,20,8,9,18,55.2,,5.85,0.393,Y,High,N,N,Y,Shrubland,"El Vicario, Spain",37.43917,-6.21639,Yes
HHH,120,2,Xiong,2015,30,3,SD,92,6,6,3,58,20,20,8,9,18,55.2,,5.85,0.393,Y,High,N,N,Y,Shrubland,"El Vicario, Spain",37.43917,-6.21639,Yes