,papers.from.same.study,Paper.ID,Case,author,year,Biosolid.level,Ne,Error.in.the.article,Me,Se,Seimp,Nc,Control.Mc,Control.Sc,Scimp,year_restoration,yeartrans,TOC..Mg.ha.1.,TN..Mg.ha.1.,plot.size,Quadrat.area..m2.,level..Mg.ha.1.,level.biosolid..kg.ha.1.,Level.P..kg.ha.1.,Level.N..kg.ha.1.,Level.C..g.ha.1.,Location,Country,Latitude,Longitude,Disturbance,Seeded,S.disturbance,Burned,multapp,Temp,Precip,biome,Mixture,Mc2
8,,145,16,Mosquera-Losada,2019,10,4,SE,7.21,1.21,1.21,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,10,10000,141000,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,16.1,36.1,Temperate grassland,No,22.11
10,,145,10,Mosquera-Losada,2019,2.5,4,SE,8.06,1.55,1.55,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,2.5,2500,35250,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
11,,145,12,Mosquera-Losada,2019,10,4,SE,5.06,1.55,1.55,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,10,10000,141000,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
13,,145,8,Mosquera-Losada,2019,10,4,SE,8.06,1.62,1.62,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,10,10000,141000,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
15,,145,3,Mosquera-Losada,2019,5,4,SE,10.28,1.82,1.82,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,5,5000,70500,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
16,,145,5,Mosquera-Losada,2019,1,4,SE,11.76,1.89,1.89,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,1,1000,14100,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
19,,145,6,Mosquera-Losada,2019,2.5,4,SE,12.24,2.09,2.09,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,2.5,2500,35250,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
21,,145,1,Mosquera-Losada,2019,1,4,SE,12.98,2.22,2.22,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,1,1000,14100,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
22,,145,15,Mosquera-Losada,2019,5,4,SE,9.07,2.43,2.43,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,5,5000,70500,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
23,,145,7,Mosquera-Losada,2019,5,4,SE,11.76,2.56,2.56,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,5,5000,70500,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
24,,145,14,Mosquera-Losada,2019,2.5,4,SE,8.06,2.56,2.56,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,2.5,2500,35250,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
25,,145,13,Mosquera-Losada,2019,1,4,SE,9.54,2.63,2.63,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,1,1000,14100,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
26,,145,9,Mosquera-Losada,2019,1,4,SE,10.01,2.7,2.7,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,1,1000,14100,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
28,,145,4,Mosquera-Losada,2019,10,4,SE,8.56,2.76,2.76,4,34.99,3.91,3.91,1,2,NA,NA,4mx2m,8,10,10000,141000,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,34.99
30,,145,11,Mosquera-Losada,2019,5,4,SE,8.33,3.57,3.57,4,22.11,4.31,4.31,2,3,NA,NA,4mx2m,8,5,5000,70500,NA,NA,"Lugo, Galicia, Spain",,43.011246,-7.56028,Yes,Yes,No,No,N,12.5,104.6,Temperate seasonal forest,Yes,22.11
87,,153,1,Carson,1988,8.96,2,NA,3.5,NA,0.21889215,2,3,NA,0.190444216,1,2,NA,NA,NA,0.25,6.5,6500,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,3
88,,153,2,Carson,1988,17.92,2,NA,3.5,NA,0.21889215,2,3,NA,0.190444216,1,2,NA,NA,NA,0.25,13,13000,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,3
89,,153,3,Carson,1988,26.88,2,NA,3.5,NA,0.21889215,2,3,NA,0.190444216,1,2,NA,NA,NA,0.25,19.5,19500,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,3
90,,153,4,Carson,1988,8.96,4,NA,4.5,NA,0.281432764,4,11,NA,0.69829546,2,3,NA,NA,NA,0.25,6.5,6500,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,11
91,,153,5,Carson,1988,17.92,4,NA,4.5,NA,0.281432764,4,11,NA,0.69829546,2,3,NA,NA,NA,0.25,13,13000,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,11
92,,153,6,Carson,1988,26.88,4,NA,4.5,NA,0.281432764,4,11,NA,0.69829546,2,3,NA,NA,9x4.5m,0.25,19.5,19500,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,11
93,,153,7,Carson,1988,8.96,4,NA,4.5,NA,0.281432764,4,15,NA,0.952221081,3,4,NA,NA,,0.25,6.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,15
94,,153,8,Carson,1988,17.92,4,NA,4.5,NA,0.281432764,4,15,NA,0.952221081,3,4,NA,NA,,0.25,13,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,15
99,,153,13,Carson,1988,8.96,4,NA,3,NA,0.187621843,4,4,NA,0.253925622,2,3,NA,NA,,0.25,6.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
100,,153,14,Carson,1988,17.92,5,NA,3,NA,0.187621843,4,4,NA,0.253925622,2,3,NA,NA,,0.25,13,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
101,,153,15,Carson,1988,26.88,6,NA,3,NA,0.187621843,4,4,NA,0.253925622,2,3,NA,NA,,0.25,19.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
102,,153,16,Carson,1988,8.96,7,NA,14,NA,0.875568599,4,8,NA,0.507851243,3,4,NA,NA,,0.25,6.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,8
103,,153,17,Carson,1988,17.92,8,NA,14,NA,0.875568599,4,8,NA,0.507851243,3,4,NA,NA,,0.25,13,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,8
104,,153,18,Carson,1988,26.88,9,NA,14,NA,0.875568599,4,8,NA,0.507851243,3,4,NA,NA,,0.25,19.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,5.6,39.2,Temperate seasonal forest,Yes,8
95,,154,9,Carson,1988,26.88,4,NA,4.5,NA,0.281432764,4,15,NA,0.952221081,3,4,NA,NA,,0.25,19.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,15
96,,155,10,Carson,1988,8.96,4,NA,3.5,NA,0.21889215,4,4,NA,0.253925622,1,2,NA,NA,,0.25,6.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
97,,156,11,Carson,1988,17.92,4,NA,3.5,NA,0.21889215,4,4,NA,0.253925622,1,2,NA,NA,,0.25,13,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
98,,157,12,Carson,1988,26.88,4,NA,3.5,NA,0.21889215,4,4,NA,0.253925622,1,2,NA,NA,,0.25,19.5,NA,538,179,NA,Oxford Ohio,USA,39.5,-84.733333,No,Yes,Yes,No,Y,11.1,104.8,Temperate seasonal forest,Yes,4
2,,165,1,Gonzalez Polo,2015,40,4,SE,2,0.8,0.8,4,1.5,1.28,1.28,6,7,NA,NA,,NA,40,4000,NA,NA,NA,"Patagonia, Argentina",,40.57333,70.8325,Yes,No,Yes,Yes,N,9.4,56.5,Shrubland,No,1.5
3,,165,2,Gonzalez Polo,2015,40,4,SE,5.2,0.94,0.94,4,4.7,3.3,3.3,6,7,NA,NA,,NA,40,4000,NA,NA,NA,"Patagonia, Argentina",,40.57333,70.8325,Yes,No,Yes,Yes,N,9.4,56.5,Shrubland,No,4.7
111,,171,1,W�jcikowska-Kapusta,2017,90,1,NA,6.1,NA,0.381497747,1,9.14,NA,0.580220045,9,10,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,9.14
112,,171,2,W�jcikowska-Kapusta,2017,180,1,NA,8.1,NA,0.506578975,1,9.14,NA,0.580220045,9,10,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,9.14
113,,171,3,W�jcikowska-Kapusta,2017,270,1,NA,10.12,NA,0.632911016,1,9.14,NA,0.580220045,9,10,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,9.14
114,,171,4,W�jcikowska-Kapusta,2017,90,1,NA,6.1,NA,0.381497747,1,10.12,NA,0.642431823,9,10,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,10.12
115,,171,5,W�jcikowska-Kapusta,2017,180,1,NA,6.07,NA,0.379621528,1,10.12,NA,0.642431823,9,10,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,10.12
116,,171,6,W�jcikowska-Kapusta,2017,270,1,NA,10.12,NA,0.632911016,1,10.12,NA,0.642431823,9,10,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,10.12
117,,171,7,W�jcikowska-Kapusta,2017,90,1,NA,9.11,NA,0.569744995,1,8.07,NA,0.512294942,9,10,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,8.07
118,,171,8,W�jcikowska-Kapusta,2017,180,1,NA,6.12,NA,0.382748559,1,8.07,NA,0.512294942,9,10,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,8.07
119,,171,9,W�jcikowska-Kapusta,2017,270,1,NA,7.06,NA,0.441536736,1,8.07,NA,0.512294942,9,10,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,8.07
120,,171,10,W�jcikowska-Kapusta,2017,90,1,NA,7.09,NA,0.443412955,1,6.12,NA,0.388506201,9,10,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.12
121,,171,11,W�jcikowska-Kapusta,2017,180,1,NA,7.11,NA,0.444663767,1,6.12,NA,0.388506201,9,10,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.12
122,,171,12,W�jcikowska-Kapusta,2017,270,1,NA,7.09,NA,0.443412955,1,6.12,NA,0.388506201,9,10,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.12
123,,171,13,W�jcikowska-Kapusta,2017,90,1,NA,6.07,NA,0.379621528,1,12.1,NA,0.768125005,10,11,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,12.1
124,,171,14,W�jcikowska-Kapusta,2017,180,1,NA,7.11,NA,0.444663767,1,12.1,NA,0.768125005,10,11,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,12.1
125,,171,15,W�jcikowska-Kapusta,2017,270,1,NA,12.1,NA,0.756741432,1,12.1,NA,0.768125005,10,11,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,12.1
126,,171,16,W�jcikowska-Kapusta,2017,90,1,NA,7.06,NA,0.441536736,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
127,,171,17,W�jcikowska-Kapusta,2017,180,1,NA,6.1,NA,0.381497747,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
128,,171,18,W�jcikowska-Kapusta,2017,270,1,NA,10.12,NA,0.632911016,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
129,,171,19,W�jcikowska-Kapusta,2017,90,1,NA,5.14,NA,0.321458757,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
130,,171,20,W�jcikowska-Kapusta,2017,180,1,NA,8.12,NA,0.507829787,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
131,,171,21,W�jcikowska-Kapusta,2017,270,1,NA,7.11,NA,0.444663767,1,6.07,NA,0.385332131,10,11,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,6.07
132,,171,22,W�jcikowska-Kapusta,2017,90,1,NA,8.05,NA,0.503451944,1,7.06,NA,0.448178722,10,11,NA,NA,,NA,90,9000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,7.06
133,,171,23,W�jcikowska-Kapusta,2017,180,1,NA,5.09,NA,0.318331726,1,7.06,NA,0.448178722,10,11,NA,NA,,NA,180,18000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,7.06
134,,171,24,W�jcikowska-Kapusta,2017,270,1,NA,7.09,NA,0.443412955,1,7.06,NA,0.448178722,10,11,NA,NA,,NA,270,27000,NA,NA,NA,Poland,,53.976228,21.62194,Yes,No,No,No,N,2.3,44.8,Shrubland,No,7.06
1,A,173,1,Gagnon,unpublished,50,8,SE,4.625,0.74,0.74,8,1,0.93,0.93,17,18,NA,NA,,NA,50,5000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,1
5,A,173,5,Gagnon,unpublished,250,8,SE,3.71,1.02,1.02,8,1,0.93,0.93,17,18,NA,NA,,NA,250,25000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,1
6,A,173,3,Gagnon,unpublished,150,8,SE,4.875,1.13,1.13,8,1,0.93,0.93,17,18,NA,NA,,NA,150,15000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,1
7,A,173,10,Gagnon,unpublished,250,8,SE,4.625,1.19,1.19,8,5.5,0.93,0.93,17,18,NA,NA,,NA,250,25000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,5.5
9,A,173,4,Gagnon,unpublished,200,8,SE,4.75,1.28,1.28,8,1,0.93,0.93,17,18,NA,NA,,NA,200,20000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,1
12,A,173,2,Gagnon,unpublished,100,8,SE,4.25,1.58,1.58,8,1,0.93,0.93,17,18,NA,NA,,NA,100,10000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,1
14,A,173,9,Gagnon,unpublished,200,8,SE,4.5,1.77,1.77,8,5.5,0.93,0.93,17,18,NA,NA,,NA,200,20000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,5.5
17,A,173,6,Gagnon,unpublished,50,8,SE,5.75,1.98,1.98,8,5.5,0.93,0.93,17,18,NA,NA,,NA,50,5000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,5.5
18,A,173,8,Gagnon,unpublished,150,8,SE,5.75,1.98,1.98,8,5.5,0.93,0.93,17,18,NA,NA,,NA,150,15000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,5.5
27,A,173,7,Gagnon,unpublished,100,8,SE,6.625,2.72,2.72,8,5.5,0.93,0.93,17,18,NA,NA,,NA,100,10000,NA,NA,NA,"Kamloops, BC, Canada",,50.47311,-121.0218,Yes,No,No,No,N,3.4,39.2,Shrubland,No,5.5
